sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
232_segment_40.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_98.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_285.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_280.mp3,232_MetalGear_02_03BaseInfiltration,0.1,0.02
232_segment_10.mp3,232_MetalGear_01_02JungleInfiltration,0.1,0.01
232_segment_201.mp3,232_MetalGear_02_03BaseInfiltration,0.13,0.02
232_segment_42.mp3,232_MetalGear_02_03BaseInfiltration,0.16,0.02
232_segment_174.mp3,232_MetalGear_02_03BaseInfiltration,0.13,0.02
232_segment_181.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_101.mp3,232_MetalGear_02_03BaseInfiltration,0.14,0.02
232_segment_307.mp3,232_MetalGear_02_03BaseInfiltration,0.12,0.02
232_segment_306.mp3,232_MetalGear_02_03BaseInfiltration,0.12,0.02
232_segment_265.mp3,232_MetalGear_02_03BaseInfiltration,0.12,0.02
232_segment_266.mp3,232_MetalGear_02_03BaseInfiltration,0.12,0.02
232_segment_204.mp3,232_MetalGear_01_02JungleInfiltration,0.1,0.01
232_segment_314.mp3,232_MetalGear_08_09EscapeBeyondBigBoss,0.06,0.01
232_segment_80.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_52.mp3,232_MetalGear_02_03BaseInfiltration,0.14,0.02
232_segment_257.mp3,232_MetalGear_02_03BaseInfiltration,0.17,0.02
232_segment_19.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_330.mp3,232_MetalGear_09_10ReturnofFoxHounder,0.09,0.01
232_segment_297.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_119.mp3,232_MetalGear_02_03BaseInfiltration,0.14,0.02
232_segment_169.mp3,232_MetalGear_02_03BaseInfiltration,0.15,0.02
232_segment_278.mp3,232_MetalGear_04_05WarningIntruderDetected,0.09,0.01
232_segment_253.mp3,232_MetalGear_02_03BaseInfiltration,0.13,0.02
