sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
303_segment_66.mp3,303_SpaceHarrier_02_03Theme,1.65,0.05
303_segment_97.mp3,303_SpaceHarrier_02_03Theme,1.5,0.04
303_segment_85.mp3,303_SpaceHarrier_05_06Godarni,0.28,0.13
303_segment_92.mp3,303_SpaceHarrier_02_03Theme,1.14,0.04
303_segment_35.mp3,303_SpaceHarrier_02_03Theme,1.01,0.04
303_segment_100.mp3,303_SpaceHarrier_02_03Theme,1.42,0.05
303_segment_124.mp3,303_SpaceHarrier_05_06Godarni,0.23,0.11
303_segment_24.mp3,303_SpaceHarrier_02_03Theme,1.25,0.04
303_segment_4.mp3,303_SpaceHarrier_02_03Theme,1.08,0.03
303_segment_74.mp3,303_SpaceHarrier_02_03Theme,1.09,0.04
303_segment_58.mp3,303_SpaceHarrier_02_03Theme,1.34,0.04
303_segment_129.mp3,303_SpaceHarrier_11_12Hayaoh,0.33,0.07
303_segment_18.mp3,303_SpaceHarrier_00_01Title,0.17,0.08
303_segment_23.mp3,303_SpaceHarrier_02_03Theme,1.15,0.04
303_segment_29.mp3,303_SpaceHarrier_02_03Theme,1.12,0.04
303_segment_110.mp3,303_SpaceHarrier_11_12Hayaoh,0.14,0.03
303_segment_127.mp3,303_SpaceHarrier_07_08BattleField,0.31,0.04
303_segment_44.mp3,303_SpaceHarrier_07_08BattleField,0.6,0.08
303_segment_86.mp3,303_SpaceHarrier_07_08BattleField,0.59,0.1
303_segment_134.mp3,303_SpaceHarrier_12_13LakeSideMemory,0.6,0.11
303_segment_39.mp3,303_SpaceHarrier_02_03Theme,1.63,0.05
303_segment_116.mp3,303_SpaceHarrier_02_03Theme,1.31,0.05
303_segment_77.mp3,303_SpaceHarrier_06_07WiwiJumbo,0.07,0.04
303_segment_59.mp3,303_SpaceHarrier_02_03Theme,1.22,0.04
303_segment_70.mp3,303_SpaceHarrier_02_03Theme,1.2,0.03
303_segment_101.mp3,303_SpaceHarrier_02_03Theme,1.46,0.05
303_segment_10.mp3,303_SpaceHarrier_14_15WhiteSummer,0.17,0.05
303_segment_95.mp3,303_SpaceHarrier_02_03Theme,1.4,0.05
303_segment_43.mp3,303_SpaceHarrier_07_08BattleField,0.4,0.05
303_segment_55.mp3,303_SpaceHarrier_02_03Theme,1.3,0.03
303_segment_84.mp3,303_SpaceHarrier_05_06Godarni,0.2,0.09
303_segment_114.mp3,303_SpaceHarrier_10_11Stanray,0.14,0.04
303_segment_14.mp3,303_SpaceHarrier_01_02Lovers,0.48,0.07
303_segment_107.mp3,303_SpaceHarrier_02_03Theme,1.42,0.05
303_segment_60.mp3,303_SpaceHarrier_02_03Theme,0.74,0.03
303_segment_48.mp3,303_SpaceHarrier_07_08BattleField,0.54,0.08
303_segment_72.mp3,303_SpaceHarrier_02_03Theme,1.02,0.03
303_segment_61.mp3,303_SpaceHarrier_02_03Theme,0.96,0.03
303_segment_96.mp3,303_SpaceHarrier_02_03Theme,0.9,0.02
303_segment_8.mp3,303_SpaceHarrier_02_03Theme,1.44,0.04
303_segment_121.mp3,303_SpaceHarrier_03_04Squilla,0.44,0.15
303_segment_17.mp3,303_SpaceHarrier_01_02Lovers,0.36,0.06
303_segment_57.mp3,303_SpaceHarrier_14_15WhiteSummer,0.05,0.03
