sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
271_segment_285.mp3,271_Puzznic_02_03MainBGM,0.33,0.28
271_segment_229.mp3,271_Puzznic_02_03MainBGM,0.37,0.26
271_segment_328.mp3,271_Puzznic_02_03MainBGM,0.34,0.26
271_segment_66.mp3,271_Puzznic_02_03MainBGM,0.31,0.22
271_segment_414.mp3,271_Puzznic_02_03MainBGM,0.35,0.26
271_segment_70.mp3,271_Puzznic_02_03MainBGM,0.33,0.22
271_segment_513.mp3,271_Puzznic_02_03MainBGM,0.37,0.24
271_segment_150.mp3,271_Puzznic_02_03MainBGM,0.38,0.24
271_segment_251.mp3,271_Puzznic_02_03MainBGM,0.34,0.19
271_segment_310.mp3,271_Puzznic_02_03MainBGM,0.41,0.27
271_segment_413.mp3,271_Puzznic_02_03MainBGM,0.3,0.25
271_segment_563.mp3,271_Puzznic_02_03MainBGM,0.32,0.24
271_segment_573.mp3,271_Puzznic_02_03MainBGM,0.3,0.22
271_segment_410.mp3,271_Puzznic_02_03MainBGM,0.34,0.25
271_segment_89.mp3,271_Puzznic_02_03MainBGM,0.29,0.22
271_segment_260.mp3,271_Puzznic_02_03MainBGM,0.33,0.25
271_segment_393.mp3,271_Puzznic_02_03MainBGM,0.26,0.2
271_segment_622.mp3,271_Puzznic_02_03MainBGM,0.3,0.23
271_segment_261.mp3,271_Puzznic_02_03MainBGM,0.33,0.19
271_segment_503.mp3,271_Puzznic_02_03MainBGM,0.25,0.22
271_segment_262.mp3,271_Puzznic_02_03MainBGM,0.35,0.24
271_segment_85.mp3,271_Puzznic_02_03MainBGM,0.31,0.19
271_segment_378.mp3,271_Puzznic_02_03MainBGM,0.36,0.26
271_segment_180.mp3,271_Puzznic_02_03MainBGM,0.27,0.17
271_segment_36.mp3,271_Puzznic_02_03MainBGM,0.27,0.22
271_segment_446.mp3,271_Puzznic_02_03MainBGM,0.33,0.22
271_segment_160.mp3,271_Puzznic_02_03MainBGM,0.35,0.23
271_segment_74.mp3,271_Puzznic_02_03MainBGM,0.35,0.26
271_segment_135.mp3,271_Puzznic_02_03MainBGM,0.25,0.21
271_segment_559.mp3,271_Puzznic_02_03MainBGM,0.32,0.22
271_segment_226.mp3,271_Puzznic_02_03MainBGM,0.32,0.25
271_segment_86.mp3,271_Puzznic_02_03MainBGM,0.34,0.22
271_segment_317.mp3,271_Puzznic_02_03MainBGM,0.27,0.23
271_segment_581.mp3,271_Puzznic_02_03MainBGM,0.32,0.19
271_segment_42.mp3,271_Puzznic_02_03MainBGM,0.31,0.22
271_segment_638.mp3,271_Puzznic_02_03MainBGM,0.28,0.19
271_segment_566.mp3,271_Puzznic_02_03MainBGM,0.37,0.24
271_segment_265.mp3,271_Puzznic_02_03MainBGM,0.31,0.26
