sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
119_segment_301.mp3,119_FinalFantasyIII_02_03Battle1,0.41,0.1
119_segment_279.mp3,119_FinalFantasyIII_06_07MyHomeTown,0.32,0.07
119_segment_124.mp3,119_FinalFantasyIII_37_38ADancersDance,0.33,0.27
119_segment_281.mp3,119_FinalFantasyIII_06_07MyHomeTown,0.47,0.1
119_segment_438.mp3,119_FinalFantasyIII_46_47LuteofNoah,0.26,0.17
119_segment_394.mp3,119_FinalFantasyIII_13_14ShrineofNept,0.44,0.14
119_segment_390.mp3,119_FinalFantasyIII_02_03Battle1,0.39,0.13
119_segment_135.mp3,119_FinalFantasyIII_08_09JinnTheFire,0.59,0.15
119_segment_100.mp3,119_FinalFantasyIII_02_03Battle1,0.34,0.05
119_segment_367.mp3,119_FinalFantasyIII_08_09JinnTheFire,0.41,0.15
119_segment_437.mp3,119_FinalFantasyIII_06_07MyHomeTown,0.7,0.11
119_segment_436.mp3,119_FinalFantasyIII_06_07MyHomeTown,0.72,0.12
119_segment_207.mp3,119_FinalFantasyIII_09_10TheDungeon,1.13,0.27
119_segment_68.mp3,119_FinalFantasyIII_01_02CrystalCave,1.0,0.25
119_segment_417.mp3,119_FinalFantasyIII_13_14ShrineofNept,0.63,0.18
119_segment_442.mp3,119_FinalFantasyIII_06_07MyHomeTown,0.66,0.12
119_segment_425.mp3,119_FinalFantasyIII_02_03Battle1,0.47,0.13
119_segment_372.mp3,119_FinalFantasyIII_08_09JinnTheFire,0.41,0.12
119_segment_290.mp3,119_FinalFantasyIII_06_07MyHomeTown,0.81,0.14
119_segment_151.mp3,119_FinalFantasyIII_08_09JinnTheFire,0.36,0.11
119_segment_240.mp3,119_FinalFantasyIII_10_11ReturnofTheWarrior,0.37,0.16
119_segment_222.mp3,119_FinalFantasyIII_09_10TheDungeon,0.51,0.14
119_segment_407.mp3,119_FinalFantasyIII_13_14ShrineofNept,0.5,0.16
119_segment_152.mp3,119_FinalFantasyIII_08_09JinnTheFire,0.28,0.13
119_segment_246.mp3,119_FinalFantasyIII_09_10TheDungeon,0.25,0.12
119_segment_187.mp3,119_FinalFantasyIII_09_10TheDungeon,0.29,0.1
119_segment_15.mp3,119_FinalFantasyIII_02_03Battle1,0.46,0.1
119_segment_150.mp3,119_FinalFantasyIII_08_09JinnTheFire,0.51,0.15
119_segment_433.mp3,119_FinalFantasyIII_02_03Battle1,0.5,0.13
