sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
379_segment_19.mp3,379_WardnernoMori_02_03Shop,0.36,0.01
379_segment_75.mp3,379_WardnernoMori_01_02MainTheme,0.19,0.06
379_segment_36.mp3,379_WardnernoMori_02_03Shop,0.22,0.07
379_segment_64.mp3,379_WardnernoMori_01_02MainTheme,0.2,0.06
379_segment_34.mp3,379_WardnernoMori_01_02MainTheme,0.16,0.06
379_segment_61.mp3,379_WardnernoMori_01_02MainTheme,0.2,0.06
379_segment_89.mp3,379_WardnernoMori_03_04Chikae,0.21,0.11
379_segment_21.mp3,379_WardnernoMori_01_02MainTheme,0.18,0.05
379_segment_23.mp3,379_WardnernoMori_01_02MainTheme,0.2,0.06
379_segment_60.mp3,379_WardnernoMori_01_02MainTheme,0.17,0.05
379_segment_83.mp3,379_WardnernoMori_01_02MainTheme,0.08,0.0
379_segment_82.mp3,379_WardnernoMori_01_02MainTheme,0.14,0.02
379_segment_85.mp3,379_WardnernoMori_03_04Chikae,0.17,0.08
379_segment_65.mp3,379_WardnernoMori_01_02MainTheme,0.21,0.06
379_segment_2.mp3,379_WardnernoMori_00_01TitleScreen,0.19,0.1
379_segment_25.mp3,379_WardnernoMori_01_02MainTheme,0.17,0.06
379_segment_24.mp3,379_WardnernoMori_01_02MainTheme,0.15,0.06
379_segment_44.mp3,379_WardnernoMori_01_02MainTheme,0.13,0.04
379_segment_52.mp3,379_WardnernoMori_01_02MainTheme,0.17,0.05
379_segment_87.mp3,379_WardnernoMori_03_04Chikae,0.18,0.1
379_segment_29.mp3,379_WardnernoMori_01_02MainTheme,0.18,0.06
379_segment_51.mp3,379_WardnernoMori_01_02MainTheme,0.19,0.06
379_segment_69.mp3,379_WardnernoMori_01_02MainTheme,0.21,0.05
379_segment_97.mp3,379_WardnernoMori_03_04Chikae,0.21,0.06
379_segment_37.mp3,379_WardnernoMori_02_03Shop,0.22,0.06
379_segment_6.mp3,379_WardnernoMori_01_02MainTheme,0.26,0.04
379_segment_22.mp3,379_WardnernoMori_01_02MainTheme,0.2,0.06
379_segment_48.mp3,379_WardnernoMori_01_02MainTheme,0.22,0.03
379_segment_11.mp3,379_WardnernoMori_01_02MainTheme,0.2,0.05
379_segment_81.mp3,379_WardnernoMori_01_02MainTheme,0.22,0.06
379_segment_74.mp3,379_WardnernoMori_01_02MainTheme,0.19,0.06
379_segment_55.mp3,379_WardnernoMori_01_02MainTheme,0.2,0.06
379_segment_80.mp3,379_WardnernoMori_01_02MainTheme,0.21,0.06
379_segment_77.mp3,379_WardnernoMori_01_02MainTheme,0.16,0.05
379_segment_7.mp3,379_WardnernoMori_01_02MainTheme,0.17,0.06
379_segment_57.mp3,379_WardnernoMori_01_02MainTheme,0.22,0.06
379_segment_42.mp3,379_WardnernoMori_01_02MainTheme,0.21,0.06
379_segment_50.mp3,379_WardnernoMori_01_02MainTheme,0.18,0.06
379_segment_20.mp3,379_WardnernoMori_01_02MainTheme,0.19,0.06
379_segment_72.mp3,379_WardnernoMori_01_02MainTheme,0.22,0.03
379_segment_40.mp3,379_WardnernoMori_01_02MainTheme,0.18,0.07
379_segment_70.mp3,379_WardnernoMori_01_02MainTheme,0.19,0.06
379_segment_58.mp3,379_WardnernoMori_01_02MainTheme,0.17,0.05
379_segment_35.mp3,379_WardnernoMori_03_04Chikae,0.06,0.02
379_segment_3.mp3,379_WardnernoMori_00_01TitleScreen,0.2,0.07
379_segment_102.mp3,379_WardnernoMori_04_05Nodoka,0.11,0.14
379_segment_28.mp3,379_WardnernoMori_01_02MainTheme,0.18,0.06
379_segment_49.mp3,379_WardnernoMori_01_02MainTheme,0.21,0.05
379_segment_73.mp3,379_WardnernoMori_01_02MainTheme,0.21,0.07
379_segment_54.mp3,379_WardnernoMori_01_02MainTheme,0.18,0.05
