sliced_query,midi_suggested,input_confidence,fingerprinted_confidence
240_segment_92.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.88,0.18
240_segment_8.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.95,0.17
240_segment_17.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.84,0.16
240_segment_21.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.78,0.15
240_segment_35.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.91,0.15
240_segment_185.mp4,240_Milon_sSecretCastle_12_13InsidetheCastleBGM2AWellBGM,0.82,0.26
240_segment_7.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.97,0.14
240_segment_162.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.44,0.08
240_segment_125.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.97,0.17
240_segment_75.mp4,240_Milon_sSecretCastle_08_09Boss,0.28,0.35
240_segment_52.mp4,240_Milon_sSecretCastle_19_20BonusStageMusicalInstrument16,0.14,0.05
240_segment_74.mp4,240_Milon_sSecretCastle_08_09Boss,0.27,0.35
240_segment_193.mp4,240_Milon_sSecretCastle_12_13InsidetheCastleBGM2AWellBGM,0.85,0.29
240_segment_26.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,1.07,0.15
240_segment_143.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.56,0.12
240_segment_191.mp4,240_Milon_sSecretCastle_08_09Boss,0.24,0.29
240_segment_179.mp4,240_Milon_sSecretCastle_12_13InsidetheCastleBGM2AWellBGM,0.74,0.25
240_segment_139.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.97,0.12
240_segment_67.mp4,240_Milon_sSecretCastle_12_13InsidetheCastleBGM2AWellBGM,0.51,0.18
240_segment_107.mp4,240_Milon_sSecretCastle_03_04InsidetheCastleBGM1,0.81,0.17
240_segment_84.mp4,240_Milon_sSecretCastle_08_09Boss,0.26,0.3
